price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
90000,50,3,Capital Federal,departamento,alquiler,$,Mitre,Villa Gral Mitre,San Blas 2500,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298093160-alquiler-departamento-3-ambientes-luminoso-_JM
135000,71,4,Capital Federal,departamento,alquiler,$,Nuñez,Núñez,Jaramillo Al 2800,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298857092-alquiler-depto-jaramillo-2800-_JM
140000,85,3,Capital Federal,departamento,alquiler,$,Urquiza,Villa Urquiza,Av Chorroarin Al 1000,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298598241-alquiler-3amb-ccochera-villa-urquiza-_JM
65000,32,1,Capital Federal,departamento,alquiler,$,San Telmo,San Telmo,Independencia Al 800,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297812504-departamento-de-1-amb-amoblado-contrato-3-anos-para-estudiante-san-telmo-_JM
90000,32,2,Capital Federal,departamento,alquiler,$,Retiro,Retiro,Carlos Pellegrini Al 900,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298807066-departamento-retiro-_JM
68000,29,1,Capital Federal,departamento,alquiler,$,Caballito,Caballito,Doblas Al 500,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297770026-alquiler-monoambiente-en-caballito-_JM
70000,39,2,Capital Federal,departamento,alquiler,$,Villa Pueyrredon,Villa Pueyrredón, Gral. 4650. Entre Av Mosconi Y Gabriela Mistral,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297816253-departamento-en-alquiler-en-villa-pueyrredon-_JM
85000,41,2,Capital Federal,departamento,alquiler,$,Flores,Flores,Beláustegui Al 4200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298039869-departamento-de-2-ambientes-zona-flores-_JM
75000,30,1,Capital Federal,departamento,alquiler,$,Villa Devoto,Villa Devoto,Cuenca Al 3800,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298090215-monoambiente-por-escalera-con-cochera-villa-devoto-_JM
65000,33,2,Capital Federal,departamento,alquiler,$,Barrio Norte,Barrio Norte, 6 Piso.  2 Ambientes. Interno. Muy Buen Estado.,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298213316-departamento-barrio-norte-_JM
